Name,Full Name,Stars,Status,Weight Status,Conference,Conference Year,arXiv ID,Last Checked,Status Changed,URL,Description
JarvisIR,LYL1015/JarvisIR,249,has_weights,HF,CVPR,2025,,2026-01-12,2026-01-09,https://github.com/LYL1015/JarvisIR,[CVPR‘ 2025 ] JarvisIR: Elevating Autonomous Driving Perception with Intelligent Image Restoration
Turtle,Ascend-Research/Turtle,120,has_weights,Cloud,NeurIPS,2024,2410.03936,2026-01-12,2026-01-09,https://github.com/Ascend-Research/Turtle,[ NeurIPS 2024 ] The official PyTorch implementation for Learning Truncated Causal History Model for Video Restoration.
ComfyUI_LucidFlux,smthemex/ComfyUI_LucidFlux,57,has_weights,HF,,,,2026-01-12,2026-01-09,https://github.com/smthemex/ComfyUI_LucidFlux, LucidFlux: Caption-Free Universal Image Restoration with a Large-Scale Diffusion Transformer，you can use it in ComfyUI
ComfyUI-SeedVR2_VideoUpscaler,numz/ComfyUI-SeedVR2_VideoUpscaler,1807,has_weights,HF,TOG,,,2026-01-12,2026-01-09,https://github.com/numz/ComfyUI-SeedVR2_VideoUpscaler,Official SeedVR2 Video Upscaler for ComfyUI
FlashVSR,OpenImagingLab/FlashVSR,1207,has_weights,HF,TOG,,2510.12747,2026-01-12,2026-01-09,https://github.com/OpenImagingLab/FlashVSR,Towards Real-Time Diffusion-Based Streaming Video Super-Resolution — An efficient one-step diffusion framework for streaming VSR with locality-constra
DreamClear,shallowdream204/DreamClear,1188,has_weights,HF,NeurIPS,2024,2410.18666,2026-01-12,2026-01-09,https://github.com/shallowdream204/DreamClear,[NeurIPS 2024] DreamClear: High-Capacity Real-World Image Restoration with Privacy-Safe Dataset Curation
EvTexture,DachunKai/EvTexture,1187,has_weights,Cloud,ICML,2024,2406.13457,2026-01-12,2026-01-09,https://github.com/DachunKai/EvTexture,[ICML 2024] EvTexture: Event-driven Texture Enhancement for Video Super-Resolution
next-ai-draw-io,DayuanJiang/next-ai-draw-io,18005,no_weights,None,,,,2026-01-12,2026-01-09,https://github.com/DayuanJiang/next-ai-draw-io,"A next.js web application that integrates AI capabilities with draw.io diagrams. This app allows you to create, modify, and enhance diagrams through n"
Face-Swapper,MaxMassi/Face-Swapper,12,no_weights,None,,,,2026-01-09,2026-01-09,https://github.com/MaxMassi/Face-Swapper,Generate a diverse dataset of 100 face-swapped images using the Inswapper model for training robust face-swap detection classifiers. 🖼️🔍
comic-translate,ogkalu2/comic-translate,2323,has_weights,HF,TOG,,2104.01431,2026-01-12,2026-01-09,https://github.com/ogkalu2/comic-translate,"Desktop app for automatically translating comics - BDs, Manga, Manhwa, Fumetti and more in a variety of formats (Image, Pdf, Epub, cbr, cbz, etc) and "
gemini-watermark-remover,journey-ad/gemini-watermark-remover,2007,no_weights,None,,,,2026-01-12,2026-01-09,https://github.com/journey-ad/gemini-watermark-remover,"A high-performance, 100% client-side tool for removing Gemini AI watermarks. Built with pure JavaScript, it leverages a mathematically precise Reverse"
local-dream,xororz/local-dream,1509,has_weights,HF,,,,2026-01-12,2026-01-09,https://github.com/xororz/local-dream,Run Stable Diffusion on Android Devices with Snapdragon NPU acceleration. Also supports CPU/GPU inference.
comfyui-inpaint-nodes,Acly/comfyui-inpaint-nodes,1108,has_weights,HF,,,,2026-01-12,2026-01-09,https://github.com/Acly/comfyui-inpaint-nodes,"Nodes for better inpainting with ComfyUI: Fooocus inpaint model for SDXL, LaMa, MAT, and various other tools for pre-filling inpaint & outpaint areas."
Doctra,AdemBoukhris457/Doctra,32,has_weights,HF,,,,2026-01-12,2026-01-09,https://github.com/AdemBoukhris457/Doctra,"📄🔍 Parse, extract, and analyze documents with ease 📄🔍"
Single-Image-Deblur,DeepMed-Lab-ECNU/Single-Image-Deblur,46,no_weights,None,CVPR,2024,2407.16993,2026-01-12,2026-01-09,https://github.com/DeepMed-Lab-ECNU/Single-Image-Deblur,
Warlock-Studio,Ivan-Ayub97/Warlock-Studio,31,has_weights,Release,ECCV,2022,,2026-01-10,2026-01-10,https://github.com/Ivan-Ayub97/Warlock-Studio,"Suite for Windows with Real-ESRGAN, RealESRNet, RealESRAnime, BSRGAN , IRCNN, GFPGAN & RIFE. Upscaling, face restoration, frame interpolation, denoisi"
Event-based-Vision_Resources,chakravarthi589/Event-based-Vision_Resources,279,no_weights,None,CVPR,2025,2408.13627,2026-01-12,2026-01-10,https://github.com/chakravarthi589/Event-based-Vision_Resources,Resources Related to Event-based Vision | Event Cameras | DVS
OneRestore,gy65896/OneRestore,229,has_weights,HF,CVPR,2021,2407.04621,2026-01-12,2026-01-10,https://github.com/gy65896/OneRestore,[ECCV 2024] OneRestore: A Universal Restoration Framework for Composite Degradation
VmambaIR,AlphacatPlus/VmambaIR,217,has_weights,Cloud,,,2403.11423,2026-01-12,2026-01-10,https://github.com/AlphacatPlus/VmambaIR,"This is official implementtaion of ""VmambaIR: Visual State Space Model for Image Restoration"""
NeRD-Rain,cschenxiang/NeRD-Rain,210,has_weights,Cloud,CVPR,2024,2404.01547,2026-01-12,2026-01-10,https://github.com/cschenxiang/NeRD-Rain,Bidirectional Multi-Scale Implicit Neural Representations for Image Deraining (CVPR 2024)
UVM-Net,zzr-idam/UVM-Net,163,has_weights,Cloud,,,,2026-01-12,2026-01-10,https://github.com/zzr-idam/UVM-Net,U-shaped Vision Mamba for Single Image Dehazing
FADformer,deng-ai-lab/FADformer,142,has_weights,Cloud,ECCV,2024,,2026-01-12,2026-01-10,https://github.com/deng-ai-lab/FADformer,"The official implementation of ""Efficient Frequency-Domain Image Deraining with Contrastive Regularization"" 【ECCV2024】"
DA-RCOT,xl-tang3/DA-RCOT,143,has_weights,Cloud,TPAMI,,,2026-01-12,2026-01-10,https://github.com/xl-tang3/DA-RCOT,(TPAMI' 25) Degradation-Aware Residual-Conditioned Optimal Transport for Unified Image Restoration
DGSolver,MiliLab/DGSolver,139,has_weights,HF,ICCV,2021,2504.21487,2026-01-12,2026-01-10,https://github.com/MiliLab/DGSolver,"Official repo for [NeurlPS 2025] ""DGSolver: Diffusion Generalist Solver with Universal Posterior Sampling for Image Restoration"""
RainMamba,TonyHongtaoWu/RainMamba,124,has_weights,Cloud,ACMMM,,2407.21773,2026-01-12,2026-01-10,https://github.com/TonyHongtaoWu/RainMamba,[ACM MM'24 Oral] RainMamba: Enhanced Locality Learning with State Space Models for Video Deraining
Noise-DA,KangLiao929/Noise-DA,117,has_weights,Cloud,ICLR,2025,2406.18516,2026-01-12,2026-01-10,https://github.com/KangLiao929/Noise-DA,[ICLR 2025] Denoising as Adaptation: Noise-Space Domain Adaptation for Image Restoration
RCOT,xl-tang3/RCOT,113,has_weights,Cloud,ICML,,,2026-01-12,2026-01-10,https://github.com/xl-tang3/RCOT,(ICML' 24) Residual-Conditioned Optimal Transport: Towards Structure-Preserving Unpaired and Paired Image Restoration
SFHformer,deng-ai-lab/SFHformer,107,has_weights,Cloud,ECCV,2024,,2026-01-12,2026-01-10,https://github.com/deng-ai-lab/SFHformer,When Fast Fourier Transform Meets Transformer for Image Restoration (ECCV 2024)
SADT,csxyhe/SADT,33,has_weights,HF,CVPR,2025,,2026-01-12,2026-01-10,https://github.com/csxyhe/SADT,"The official implementation of the paper ""A Universal Scale-Adaptive Deformable Transformer for Image Restoration across Diverse Artifacts (CVPR 2025)"
CPRAformer,zs1314/CPRAformer,65,has_weights,Cloud,ACMMM,2025,2504.16455,2026-01-12,2026-01-10,https://github.com/zs1314/CPRAformer,"【ACM MM 2025】PyTorch code for our  paper ""Cross Paradigm Representation and Alignment Transformer for Image Deraining"""
DFSSM,ShugoYamashita/DFSSM,14,has_weights,Cloud,ACCV,2024,2405.16470,2026-01-10,2026-01-10,https://github.com/ShugoYamashita/DFSSM,"The official code of the ACCV 2024 paper ""Image Deraining with Frequency-Enhanced State Space Model (DFSSM)"""
UHDRes,Zhao0100/UHDRes,17,has_weights,HF,,,2511.05009,2026-01-10,2026-01-10,https://github.com/Zhao0100/UHDRes,🔥🔥🔥UHDRes 2025: Ultra-High-Definition Image Restoration via Dual-Domain Decoupled Spectral Modulation
UHDDIP,wlydlut/UHDDIP,12,has_weights,Cloud,TCSVT,2025,,2026-01-10,2026-01-10,https://github.com/wlydlut/UHDDIP,[IEEE TCSVT 2025] Ultra-High-Deﬁnition Image Restoration: New Benchmarks and A Dual Interaction Prior-Driven Solution
comfyui-vrgamedevgirl,vrgamegirl19/comfyui-vrgamedevgirl,234,no_weights,None,,,,2026-01-12,2026-01-10,https://github.com/vrgamegirl19/comfyui-vrgamedevgirl,"Custom ComfyUI nodes for film grain, color matching, and video enhancement."
DiffUIR,iSEE-Laboratory/DiffUIR,191,has_weights,Cloud,CVPR,2024,2403.11157,2026-01-12,2026-01-10,https://github.com/iSEE-Laboratory/DiffUIR,"(CVPR2024) Official implementation of paper: ""Selective Hourglass Mapping for Universal Image Restoration Based on Diffusion Model"""
AST,joshyZhou/AST,169,has_weights,HF,CVPR,2024,,2026-01-12,2026-01-10,https://github.com/joshyZhou/AST,Adapt or Perish: Adaptive Sparse Transformer with Attentive Feature Refinement for Image Restoration
EENet,c-yn/EENet,10,has_weights,Cloud,PR,,,2026-01-10,2026-01-10,https://github.com/c-yn/EENet,An effective and efficient network for single image dehazing
BioIR,c-yn/BioIR,14,has_weights,Cloud,,,,2026-01-10,2026-01-10,https://github.com/c-yn/BioIR,Bio-Inspired Image Restoration
DehazingAttributionMap,fengyanzi/DehazingAttributionMap,10,has_weights,HF,CVPR,2025,2504.09621,2026-01-10,2026-01-10,https://github.com/fengyanzi/DehazingAttributionMap,[CVPR 2025] 🏆Tokenize Image Patches: Global Context Fusion for Effective Haze Removal in Large Images
RRSHID,AeroVILab-AHU/RRSHID,34,has_weights,HF,,,2503.17966,2026-01-12,2026-01-10,https://github.com/AeroVILab-AHU/RRSHID,[TGRS 2025] Real-World Remote Sensing Image Dehazing: Benchmark and Baseline
CORUN-Colabator,cnyvfang/CORUN-Colabator,72,has_weights,Cloud,NeurIPS,2024,,2026-01-12,2026-01-10,https://github.com/cnyvfang/CORUN-Colabator,[NeurIPS2024 Spotlight] Real-world Image Dehazing with Coherence-based Pseudo Labeling and Cooperative Unfolding Network
DehazeXL,CastleChen339/DehazeXL,65,has_weights,HF,CVPR,2025,2504.09621,2026-01-12,2026-01-10,https://github.com/CastleChen339/DehazeXL,[CVPR 2025] Tokenize Image Patches: Global Context Fusion for Effective Haze Removal in Large Images
MoCE-IR,eduardzamfir/MoCE-IR,122,has_weights,Cloud,CVPR,2025,2411.18466,2026-01-12,2026-01-10,https://github.com/eduardzamfir/MoCE-IR,[CVPR 2025] Complexity Experts are Task-Discriminative Learners for Any Image Restoration
MP-HSIR,ZhehuiWu/MP-HSIR,21,has_weights,Cloud,,,2503.09131,2026-01-12,2026-01-10,https://github.com/ZhehuiWu/MP-HSIR,MP-HSIR: A Multi-Prompt Framework for Universal Hyperspectral Image Restoration
HazeFlow,cloor/HazeFlow,21,has_weights,Cloud,ICCV,2025,2509.18190,2026-01-12,2026-01-10,https://github.com/cloor/HazeFlow,HazeFlow: Revisit Haze Physical Model as ODE and Non-Homogeneous Haze Generation for Real-World Dehazing [ICCV 2025]
HazeSpace2M_ACMMN_2024,tanvirnwu/HazeSpace2M_ACMMN_2024,27,has_weights,HF,ACMMM,2024,,2026-01-12,2026-01-10,https://github.com/tanvirnwu/HazeSpace2M_ACMMN_2024,HazeSpace2M is a large scale paired hazy dataset for training and evaluating haze type classification models and single image dehazing models.
HVI-CIDNet,Fediory/HVI-CIDNet,710,has_weights,HF,CVPR,2025,2402.05809,2026-01-12,2026-01-10,https://github.com/Fediory/HVI-CIDNet,[CVPR2025 && NTIRE2025] HVI: A New Color Space for Low-light Image Enhancement (Official Implementation)
LightenDiffusion,JianghaiSCU/LightenDiffusion,255,has_weights,Cloud,ECCV,2024,,2026-01-12,2026-01-10,https://github.com/JianghaiSCU/LightenDiffusion,"Official pytorch implementation for ""LightenDiffusion: Unsupervised Low-Light Image Enhancement with Latent-Retinex Diffusion Models"""
GMNet,qtlark/GMNet,19,has_weights,Cloud,ICLR,2025,,2026-01-10,2026-01-10,https://github.com/qtlark/GMNet,[ICLR2025] Learning Gain Map for Inverse Tone Mapping
RestorMixer,ClimBin/RestorMixer,47,no_weights,None,,,2504.10967,2026-01-12,2026-01-10,https://github.com/ClimBin/RestorMixer,"The official implementation of ""An Efficient and Mixed Heterogeneous Model for Image Restoration"""
GridFormer,TaoWangzj/GridFormer,36,has_weights,Cloud,IJCV,2024,,2026-01-12,2026-01-10,https://github.com/TaoWangzj/GridFormer,"The code release of paper "" GridFormer: Residual Dense Transformer with Grid Structure for Image Restoration in Adverse Weather Conditions"", IJCV 2024"
SWFormer,deng-ai-lab/SWFormer,23,has_weights,Cloud,,,,2026-01-12,2026-01-10,https://github.com/deng-ai-lab/SWFormer,Image Restoration via Multi-domain Learning
HINT,joshyZhou/HINT,22,has_weights,HF,ICCV,2025,,2026-01-12,2026-01-10,https://github.com/joshyZhou/HINT,Devil is in the Uniformity: Exploring Diverse Learners within Transformer for Image Restoration
ASTv2,joshyZhou/ASTv2,10,has_weights,HF,TPAMI,2025,,2026-01-10,2026-01-10,https://github.com/joshyZhou/ASTv2,Learning An Adaptive Sparse Transformer for Efficient Image Restoration
CODiff,jp-guo/CODiff,69,has_weights,HF,ICCV,,,2026-01-12,2026-01-10,https://github.com/jp-guo/CODiff,[ICCV'25] Compression-Aware One-Step Diffusion Model for JPEG Artifact Removal
ComfyUI-FBCNN,Miosp/ComfyUI-FBCNN,34,no_weights,None,,,,2026-01-12,2026-01-10,https://github.com/Miosp/ComfyUI-FBCNN,JPEG artifacts removal using FBCNN model ported to ComfyUI
OAPT,QMoQ/OAPT,11,has_weights,Cloud,ECCV,2024,2408.11480,2026-01-10,2026-01-10,https://github.com/QMoQ/OAPT,[ECCV-2024] OAPT: Offset-Aware Partition Transformer for Double JPEG Artifacts Removal
Unveiling-Hidden-Details-A-RAW-Data-Enhanced-RealSR,peylnog/Unveiling-Hidden-Details-A-RAW-Data-Enhanced-RealSR,152,coming_soon,None,,,,2026-01-12,2026-01-10,https://github.com/peylnog/Unveiling-Hidden-Details-A-RAW-Data-Enhanced-RealSR,Official Code for “Unveiling Hidden Details: A RAW Data-Enhanced Paradigm for Real-World Super-Resolution”
Unsupervised-Spectral-Demosaicing,fkmajiji/Unsupervised-Spectral-Demosaicing,22,has_weights,Cloud,TIP,,,2026-01-12,2026-01-10,https://github.com/fkmajiji/Unsupervised-Spectral-Demosaicing,"This is an official PyTorch implementation for ""Unsupervised Spectral Demosaicing with Lightweight Spectral Attention Networks""."
DemosaicFormer,QUEAHREN/DemosaicFormer,15,has_weights,Cloud,CVPR,2024,2405.04867,2026-01-10,2026-01-10,https://github.com/QUEAHREN/DemosaicFormer,Official PyTorch implementation of the Winner Award solution of MIPI 2024 Demosaic for HybridEVS Camera Challenge (CVPR Workshop 2024).
unified-demosaicing,SamsungLabs/unified-demosaicing,10,no_weights,None,,,2504.07145,2026-01-10,2026-01-10,https://github.com/SamsungLabs/unified-demosaicing,"Code for paper: Examining Joint Demosaicing and Denoising for Single-, Quad- and Nona-Bayer Patterns"
isethdrsensor,ISET/isethdrsensor,10,no_weights,None,,,,2026-01-10,2026-01-10,https://github.com/ISET/isethdrsensor,Test ideas about sensor architectures for HDR imaging
SeedVR,ByteDance-Seed/SeedVR,893,has_weights,HF,CVPR,2025,2501.01320,2026-01-12,2026-01-10,https://github.com/ByteDance-Seed/SeedVR,Repo for SeedVR2 & SeedVR (CVPR2025 Highlight)
PMRF,ohayonguy/PMRF,732,has_weights,HF,ICLR,2025,2410.00418,2026-01-12,2026-01-10,https://github.com/ohayonguy/PMRF,[ICLR 2025] Official implementation of Posterior-Mean Rectified Flow: Towards Minimum MSE Photo-Realistic Image Restoration
fusion_bench,tanganke/fusion_bench,197,no_weights,None,NeurIPS,2025,2406.03280,2026-01-12,2026-01-10,https://github.com/tanganke/fusion_bench,FusionBench: A Comprehensive Benchmark/Toolkit of Deep Model Fusion
vs_undistort,pifroggi/vs_undistort,14,no_weights,None,TOG,,,2026-01-10,2026-01-10,https://github.com/pifroggi/vs_undistort,"Vapoursynth function to remove video distortions, turbulance, wobble, warp, heat haze, or similar"
FMA-Net,KAIST-VICLab/FMA-Net,696,has_weights,Cloud,CVPR,2024,2401.03707,2026-01-12,2026-01-10,https://github.com/KAIST-VICLab/FMA-Net,[CVPR 2024 Oral] Official repository of FMA-Net
temporal-motion-deblur,zhan994/temporal-motion-deblur,11,has_weights,HF,ICIP,2025,2501.12604,2026-01-10,2026-01-10,https://github.com/zhan994/temporal-motion-deblur,[ICIP 2025] Image Motion Blur Removal in the Temporal Dimension with Video Diffusion Models
FMA-Net-PlusPlus,KAIST-VICLab/FMA-Net-PlusPlus,70,no_weights,None,CVPR,2024,2512.04390,2026-01-12,2026-01-10,https://github.com/KAIST-VICLab/FMA-Net-PlusPlus,"Official repository of ""FMA-Net++: Motion- and Exposure-Aware Real-World Joint Video Super-Resolution and Deblurring"""
claritycore,Bezdarnost/claritycore,13,no_weights,None,,,,2026-01-10,2026-01-10,https://github.com/Bezdarnost/claritycore,"Next-generation Open Source toolkit for low-level vision. Engineered for state-of-the-art performance in image and video pixel2pixel tasks, including "
DSTNet-plus,sunny2109/DSTNet-plus,22,has_weights,HF,TPAMI,2025,,2026-01-12,2026-01-10,https://github.com/sunny2109/DSTNet-plus,[TPAMI 2025] Learning Efficient Deep Discriminative Spatial and Temporal Networks for Video Deblurring
SelfHVD,cshonglei/SelfHVD,14,coming_soon,None,,,2508.08605,2026-01-10,2026-01-10,https://github.com/cshonglei/SelfHVD,SelfHVD: Self-Supervised Handheld Video Deblurring for Mobile Phones
enable-hdr-oneplus13-webui,HoneyWhiteCloud/enable-hdr-oneplus13-webui,34,no_weights,None,,,,2026-01-10,2026-01-10,https://github.com/HoneyWhiteCloud/enable-hdr-oneplus13-webui,一个用于给OnePlus13（理论上OPPO，realme，OnePlus都能够使用）添加HDR包名白名单的的模块（基于人工智能神力），从“https://github.com/HoneyWhiteCloud/enable-hdr-oneplus13-webui-old ” 转移到这个储存库。
Restore-RWKV,Yaziwel/Restore-RWKV,128,has_weights,Cloud,,,2407.11087,2026-01-12,2026-01-10,https://github.com/Yaziwel/Restore-RWKV,Restore-RWKV: Efficient and Effective Medical Image Restoration with RWKV
wdm-3d,pfriedri/wdm-3d,124,has_weights,HF,MICCAI,,2402.19043,2026-01-12,2026-01-10,https://github.com/pfriedri/wdm-3d,"PyTorch implementation for ""WDM: 3D Wavelet Diffusion Models for High-Resolution Medical Image Synthesis"" (DGM4MICCAI 2024)"
DenoMamba,icon-lab/DenoMamba,34,no_weights,None,,,2409.13094,2026-01-12,2026-01-10,https://github.com/icon-lab/DenoMamba,Official implementation of DenoMamba: A fused state-space model for low-dose CT denoising
CVPR-MIA,MedAIerHHL/CVPR-MIA,471,no_weights,None,CVPR,,2412.20651,2026-01-12,2026-01-10,https://github.com/MedAIerHHL/CVPR-MIA,Papers of Medical Image Analysis on CVPR
LDAE,GabrieleLozupone/LDAE,27,has_weights,Cloud,,,2212.12990,2026-01-12,2026-01-10,https://github.com/GabrieleLozupone/LDAE,"Official PyTorch implementation of ""Latent Diffusion Autoencoders: Toward Efficient and Meaningful Unsupervised Representation Learning in Medical Ima"
ViTa,Yundi-Zhang/ViTa,25,has_weights,HF,,,2504.13037,2026-01-12,2026-01-10,https://github.com/Yundi-Zhang/ViTa,🔥 Medical Image Analysis 2025: Towards Cardiac MRI Foundation Models: Comprehensive Visual-Tabular Representations for Whole-Heart Assessment and Beyo
CMRxRecon2025,CmrxRecon/CMRxRecon2025,20,no_weights,None,MICCAI,2025,,2026-01-12,2026-01-10,https://github.com/CmrxRecon/CMRxRecon2025,Code for the Cardiac MRI Reconstruction Challenge 2025 (CMRxRecon2025)
CMRxRecon2024,CmrxRecon/CMRxRecon2024,35,no_weights,None,MICCAI,2024,,2026-01-12,2026-01-10,https://github.com/CmrxRecon/CMRxRecon2024,Code for the Cardiac MRI Reconstruction Challenge 2024 (CMRxRecon2024)
atommic,wdika/atommic,19,has_weights,HF,,,,2026-01-10,2026-01-10,https://github.com/wdika/atommic,ATOMMIC: Advanced Toolbox for Multitask Medical Imaging Consistency
monalisa,MattechLab/monalisa,19,no_weights,None,,,,2026-01-10,2026-01-10,https://github.com/MattechLab/monalisa,This repository contains code for performing MRI reconstruction with non-cartesian or cartesian data. Several iterative reconstruction are implemented
MIR,junyuchen245/MIR,15,no_weights,None,CVPR,2025,2412.17982,2026-01-10,2026-01-10,https://github.com/junyuchen245/MIR,A deep learning-based medical image registration package based on PyTorch.
segmentation-guided-diffusion,mazurowski-lab/segmentation-guided-diffusion,203,has_weights,Cloud,MICCAI,2024,2402.05210,2026-01-12,2026-01-10,https://github.com/mazurowski-lab/segmentation-guided-diffusion,[MICCAI 2024] Easy diffusion models (optionally with segmentation guidance) for medical images and beyond.
CMC,med-air/CMC,51,no_weights,None,MICCAI,2024,,2026-01-12,2026-01-10,https://github.com/med-air/CMC,"This code is implementation of MICCAI 2024 ""Robust Semi-Supervised Multimodal Medical Image Segmentation via Cross Modality Collaboration"""
flemme,wlsdzyzl/flemme,25,has_weights,HF,MICCAI,2025,2408.09369,2026-01-12,2026-01-10,https://github.com/wlsdzyzl/flemme,A flexible and modular learning platform for medical images
MK-UNet,SLDGroup/MK-UNet,49,has_weights,Cloud,CVPR,2025,2509.18493,2026-01-12,2026-01-10,https://github.com/SLDGroup/MK-UNet,Official repository of ICCV 2025 CVAMD Oral paper: MK-UNet: Multi-kernel Lightweight CNN for Medical Image Segmentation
LoMix,SLDGroup/LoMix,11,has_weights,Release,CVPR,2025,2510.22995,2026-01-10,2026-01-10,https://github.com/SLDGroup/LoMix,"Official repository of NeurIPS 2025 paper ""LoMix: Learnable Weighted Multi‑Scale Logits Mixing for Medical Image Segmentation"""
2022-CVPR-AirNet,XLearning-SCU/2022-CVPR-AirNet,214,has_weights,Cloud,CVPR,2022,,2026-01-12,2026-01-12,https://github.com/XLearning-SCU/2022-CVPR-AirNet,PyTorch implementation for All-In-One Image Restoration for Unknown Corruption (AirNet) (CVPR 2022)
ComfyUI-Ultimate-Auto-Sampler-Config-Grid-Testing-Suite,JasonHoku/ComfyUI-Ultimate-Auto-Sampler-Config-Grid-Testing-Suite,20,has_weights,Extension,TOG,,,2026-01-12,2026-01-12,https://github.com/JasonHoku/ComfyUI-Ultimate-Auto-Sampler-Config-Grid-Testing-Suite,"ComfyUI Sampler testing & benchmarking tool for testing Stable Diffusion samplers, schedulers, CFG scales, prompts, img2img denoise values, and LoRA c"
MangaTranslator,meangrinch/MangaTranslator,45,has_weights,HF,,,,2026-01-12,2026-01-12,https://github.com/meangrinch/MangaTranslator,Manga translation app powered by AI
CEM,J-FHu/CEM,31,has_weights,Cloud,,,2407.19789,2026-01-12,2026-01-12,https://github.com/J-FHu/CEM,Codes of Interpreting Low-level Vision Models with Causal Effect Maps
PW-FNet,deng-ai-lab/PW-FNet,46,has_weights,Cloud,,,,2026-01-12,2026-01-12,https://github.com/deng-ai-lab/PW-FNet,"Global Modeling Matters: A Fast, Lightweight and Effective Baseline for Efficient Image Restoration"
DFPIR,TxpHome/DFPIR,45,has_weights,Cloud,CVPR,,,2026-01-12,2026-01-12,https://github.com/TxpHome/DFPIR,all-in-one image restoration
CycleRDM,hejh8/CycleRDM,21,has_weights,Cloud,PR,,2412.14630,2026-01-12,2026-01-12,https://github.com/hejh8/CycleRDM,Unified Image Restoration and Enhancement: Degradation Calibrated Cycle Reconstruction Diffusion Model. (PR)
Diff-Dehazer,ywxjm/Diff-Dehazer,23,has_weights,HF,AAAI,2025,,2026-01-12,2026-01-12,https://github.com/ywxjm/Diff-Dehazer,AAAI2025-Exploiting Diffusion Prior for Real-World Image Dehazing with Unpaired Training
traiNNer-redux,the-database/traiNNer-redux,101,no_weights,None,,,,2026-01-12,2026-01-12,https://github.com/the-database/traiNNer-redux,Deep learning training framework for image super resolution and restoration.
CasualHDRSplat,WU-CVGL/CasualHDRSplat,28,no_weights,None,ACMMM,2025,2504.17728,2026-01-12,2026-01-12,https://github.com/WU-CVGL/CasualHDRSplat,"[ACMMM 2025] ""Casual3DHDR: High Dynamic Range 3D Gaussian Splatting from Casually Captured Videos"""
3D-MedDiffusion,ShanghaiTech-IMPACT/3D-MedDiffusion,111,has_weights,HF,,,2412.13059,2026-01-12,2026-01-12,https://github.com/ShanghaiTech-IMPACT/3D-MedDiffusion,[IEEE TMI 2025] 3D MedDiffusion: A 3D Medical Diffusion Model for Controllable and High-quality Medical Image Generation
MedSegFactory,jwmao1/MedSegFactory,30,has_weights,HF,,,2504.06897,2026-01-12,2026-01-12,https://github.com/jwmao1/MedSegFactory,MedSegFactory: Text-Guided Generation of Medical Image-Mask Pairs
